Offset(P)    #Ptr   #Hnd Access Name
---------- ------ ------ ------ ----
0x01deb6d0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x01deb8b0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x01dee618      1      0 -W-rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\0P6R8DE3\bullet[1].gif
0x01def788      1      0 R--r-d \Device\HarddiskVolume1\Program Files\Java\jre6\bin\jp2native.dll
0x01df0780      1      0 R--rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\6TEDUZUT\jquery.pagination[1].js
0x01df0818      1      1 R--rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Desktop
0x01df11c0      1      1 RW-r-- \Device\HarddiskVolume1\WINDOWS\SoftwareDistribution\ReportingEvents.log
0x01df1460      2      1 ------ \Device\Afd\Endpoint
0x01df3f90      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\shimgvw.dll
0x01df4208      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\Fonts\MTCORSVA.TTF
0x01df4500      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x01df4be0      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\Fonts\raavi.ttf
0x01dfd1c0      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\Fonts\trebucbi.ttf
0x01dfe5d8      2      1 RW-rw- \Device\NamedPipe\
0x01e00968      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\Fonts\verdanab.ttf
0x01e15028      1      1 ------ \Device\NamedPipe\samr
0x01e15518      3      1 R--rw- \Device\HarddiskVolume1\Program Files\Java\jre6\lib\ext\sunjce_provider.jar
0x01e15968      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01e18ec8      1      0 R--r-d \Device\HarddiskVolume1\Program Files\Common Files\Adobe\Acrobat\ActiveX\pdfshell.dll
0x01e1a790      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Reader\ViewerPS.dll
0x01e1a978      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Java\jre6\lib\deploy\jqs\ie\jqs_plugin.dll
0x01e1c740      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\Fonts\verdana.ttf
0x01e1c8a8      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\c_28591.nls
0x01e22260      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\browser.dll
0x01e22820      2      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\History\History.IE5\index.dat
0x01e23698      1      0 R--r-d \Device\HarddiskVolume1\Program Files\Java\jre6\bin\deploy.dll
0x01e24238      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\Fonts\comicbd.ttf
0x01e25870      3      1 ------ \Device\Afd\Endpoint
0x01e270e8      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\snmpapi.dll
0x01e2ae20      2      1 ------ \Device\Afd\Endpoint
0x01e372a0      2      0 R--rw- \Device\HarddiskVolume1\WINDOWS\Fonts\verdanai.ttf
0x01e37af8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x01e39990      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\drivers\etc\protocol
0x01e3af90      1      1 R--rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag
0x01e3f070      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\msxml3.dll
0x01e44350      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\usbui.dll
0x01e44468      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.163_x-ww_681e29fb
0x01e44f90      2      1 ------ \Device\NamedPipe\wkssvc
0x01e480e0      1      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\LocalService\Local Settings\History\History.IE5\index.dat
0x01e4a700      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\d3d9.dll
0x01e4a798      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\d3d8thk.dll
0x01e4ad30      1      0 -W-rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\0P6R8DE3\tab_bg[1].gif
0x01e4adc8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\notepad.exe
0x01e4ae60      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\Microsoft\Crypto\RSA\S-1-5-21-343818398-920026266-854245398-1003\83aa4cc77f591dfc2374580bbd95f6ba_eddb8036-9007-4e8a-99e4-c53f6279f787
0x01e4fc18      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x01e504c8      1      0 ------ \Device\KSENUM#00000002\{9B365890-165F-11D0-A195-0020AFD156E4}
0x01e55348      1      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\LocalService\Cookies\index.dat
0x01e57e28      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\browser\xulrunner\freebl3.dll
0x01e58028      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x01e58718      1      0 R--r-d \Device\HarddiskVolume1\Program Files\LimeWire\lib\jdic.dll
0x01e5a0a8      1      1 ------ \Device\NamedPipe\trkwks
0x01e5a1f0      1      1 ------ \Device\NamedPipe\W32TIME
0x01e5a468      1      0 -W-rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\WDIZSHIJ\navLeft[1].gif
0x01e5e9c0      3      1 ------ \Device\Afd\Endpoint
0x01e601c8      1      0 -W-rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\6TEDUZUT\mail[4]
0x01e61028      1      0 R--rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\WDIZSHIJ\widget37[2].css
0x01e61440      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Reader\plug_ins\reflow.api
0x01e619a8      3      0 RWD--- \Device\HarddiskVolume1\$ConvertToNonresident
0x01e623f8      1      0 R--rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\GH012LM5\jquery.cookie[1].js
0x01e62578      3      1 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\wbem\mof
0x01e628d0      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Reader\plug_ins\SaveAsRTF.api
0x01e64bc0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x01e65b98      1      1 R--r-- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\My Documents\Merkblatt_ameisen.pdf
0x01e6c210      1      0 RW-rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Application Data\Microsoft\Internet Explorer\MSIMGSIZ.DAT
0x01e6c740      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\cmd.exe
0x01e6c910      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\Fonts\sylfaen.ttf
0x01e6cd18      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\6TEDUZUT\3114[1].png
0x01e6d0e0      2      1 R--rwd \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Resource\Font
0x01e6d178      1      0 R--rwd \Device\HarddiskVolume1\Program Files\Adobe\Reader 8.0\Reader\AGM.dll
0x01e6d598      2      0 RWD--- \Device\HarddiskVolume1\$SetEndOfFileInfo
0x01e6f128      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\0P6R8DE3\k_16[1].png
0x01e70dd0      2      1 ------ \Device\NamedPipe\lsass
0x01e76e58      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x01e771a0      1      0 -W-rwd \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Local Settings\Temporary Internet Files\Content.IE5\0P6R8DE3\addyn_3[7]
0x01e77798      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.163_x-ww_681e29fb
0x01e77830      3      1 R--rw- \Device\HarddiskVolume1\WINDOWS\Fonts\times.ttf
0x01e77b88      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\msxml3r.dll
0x01e77c88      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\Fonts\lsans.ttf
0x01e77d60      2      1 ------ \Device\Afd\Endpoint
0x01e78400      1      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\Peter Haag\Application Data\LimeWire\mozilla-profile\Cache\_CACHE_003_
