Offset(V)     Pid     Handle     Access Type             Details
---------- ------ ---------- ---------- ---------------- -------
0x823ca830      4        0x4   0x1f0fff Process          System(4)
0x823c7020      4        0x8        0x0 Thread           TID 12 PID 4
0xe140b490      4        0xc    0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER\MEMORY MANAGEMENT\PREFETCHPARAMETERS
0xe100e440      4       0x10        0x0 Key              
0xe14143a0      4       0x14    0x2001f Key              MACHINE\SYSTEM\SETUP
0xe141d430      4       0x18    0x20019 Key              MACHINE\HARDWARE\DESCRIPTION\SYSTEM\MULTIFUNCTIONADAPTER
0xe14257a8      4       0x1c    0x20019 Key              MACHINE\SYSTEM\WPA\PNP
0xe1424430      4       0x20    0x20019 Key              MACHINE\SYSTEM\WPA\MEDIACENTER
0xe14131f0      4       0x24    0x20019 Key              MACHINE\SYSTEM\WPA\KEY-4F3B2RFXKC9C637882MBM
0xe140cfb8      4       0x28    0x20019 Key              MACHINE\SYSTEM\WPA\KEY-PRQFY29YQ63H4X464JVPT
0xe141f430      4       0x2c    0x20019 Key              MACHINE\SYSTEM\WPA\SIGNINGHASH-23C6TWBQV6X3B8
0xe1406e68      4       0x30    0x20019 Key              MACHINE\SYSTEM\WPA\SIGNINGHASH-V44KQMCFXKQCTQ
0xe140b518      4       0x34    0x2001f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\PRODUCTOPTIONS
0xe1414170      4       0x38    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\EVENTLOG
0x823c1790      4       0x3c   0x1f0003 Event            TRKWKS_EVENT
0xe1656598      4       0x60    0x20019 Key              MACHINE\HARDWARE\DESCRIPTION\SYSTEM\MULTIFUNCTIONADAPTER
0x822b8348      4       0x68   0x12019f File             \Device\Tcp
0xe165b3d8      4       0x78    0x20019 Key              MACHINE\HARDWARE\DESCRIPTION\SYSTEM\MULTIFUNCTIONADAPTER
0x822544b0      4       0x7c   0x1f01ff File             \Device\Udp
0x822b82b0      4       0x80   0x12019f File             \Device\Tcp
0xe195adf0      4       0x90   0x1f0001 Port             
0xe14238f0      4       0x94    0xf000f Directory        Harddisk0
0x823abb78      4       0x98   0x1f03ff Thread           TID 96 PID 4
0xe141f108      4       0x9c    0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\ACPI\PARAMETERS
0xe101be18      4       0xb4    0xf000f Directory        Harddisk1
0xe1423f10      4       0xbc    0xf000f Directory        WinDfs
0x81f2c668      4       0xe8   0x12019f File             \Device\Tcp
0x81e010e0      4      0x174   0x12019f File             \Device\Tcp
0x81f347e8      4      0x178   0x1f01ff File             \Device\Tcp
0x81e94818      4      0x190   0x12019f File             \Device\Tcp
0x81e1c0e0      4      0x198   0x1f01ff File             \Device\Tcp
0x81f20978      4      0x1a8   0x1f03ff Process          svchost.exe(956)
0x81f87da0      4      0x1ac   0x1f03ff Process          explorer.exe(1532)
0x81e72760      4      0x1c0   0x1f01ff File             \Device\Tcp
0x81f492c0      4      0x1c8   0x1f03ff Process          winlogon.exe(588)
0x821c9eb8      4      0x1cc   0x12019f File             \Device\Tcp
0x8213c028      4      0x1d0   0x1f01ff File             \Device\Tcp
0x82209b38      4      0x1f8   0x12019f File             \Device\Tcp
0x81f02418      4      0x208   0x1f01ff File             \Device\Tcp
0x81ec0c20      4      0x23c   0x12019f File             \Device\Tcp
0x81e2bf90      4      0x248   0x1f01ff File             \Device\Tcp
0x821f57e0      4      0x258   0x12019f File             \Device\Tcp
0x81ec1dc8      4      0x2b4   0x1f01ff File             \Device\Tcp
0x81f8c680      4      0x2b8   0x12019f File             \Device\Tcp
0x81df13c8      4      0x2c4   0x1f01ff File             \Device\Udp
0x821adae0      4      0x2c8   0x12019f File             \Device\Tcp
0x821adbf8      4      0x2cc   0x12019f File             \Device\Tcp
0x821add10      4      0x2d0   0x12019f File             \Device\Tcp
0x821ade28      4      0x2d4   0x12019f File             \Device\Tcp
0x821adf40      4      0x2d8   0x12019f File             \Device\Tcp
0x81e5b080      4      0x2dc   0x12019f File             \Device\Tcp
0x81e5b198      4      0x2e0   0x12019f File             \Device\Tcp
0x81e5b2b0      4      0x2e4   0x12019f File             \Device\Tcp
0x81e5b3c8      4      0x2e8   0x12019f File             \Device\Tcp
0x81e5b4e0      4      0x2ec   0x12019f File             \Device\Tcp
0x81e5b5f8      4      0x2f0   0x12019f File             \Device\Tcp
0x81e5b710      4      0x2f4   0x12019f File             \Device\Tcp
0x81e5b828      4      0x2f8   0x12019f File             \Device\Tcp
0x81e5bd60      4      0x2fc   0x12019f File             \Device\Tcp
0x81e5be78      4      0x300   0x12019f File             \Device\Tcp
0x81e5bf90      4      0x304   0x12019f File             \Device\Tcp
0x81e5c108      4      0x308   0x12019f File             \Device\Tcp
0x8229aa40      4      0x30c   0x12019f File             \Device\Tcp
