Offset(V)  Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
---------- -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0x823ca830 System                    4      0     54      702 ------      0                                                              
0x821ef020 smss.exe                500      4      3       19 ------      0 2010-05-05 11:24:49 UTC+0000                                 
0x82276628 csrss.exe               564    500     11      493      0      0 2010-05-05 11:24:59 UTC+0000                                 
0x81f492c0 winlogon.exe            588    500     19      516      0      0 2010-05-05 11:25:01 UTC+0000                                 
0x82235020 services.exe            636    588     15      250      0      0 2010-05-05 11:25:01 UTC+0000                                 
0x81f52020 lsass.exe               656    588     23      348      0      0 2010-05-05 11:25:01 UTC+0000                                 
0x81f53020 svchost.exe             816    636     15      195      0      0 2010-05-05 11:25:02 UTC+0000                                 
0x81f632a0 svchost.exe             872    636      8      296      0      0 2010-05-05 11:25:03 UTC+0000                                 
0x81f20978 svchost.exe             956    636     55     1186      0      0 2010-05-05 11:25:03 UTC+0000                                 
0x82235560 svchost.exe            1080    636      6       88      0      0 2010-05-05 11:25:04 UTC+0000                                 
0x81f2bb10 svchost.exe            1224    636     15      198      0      0 2010-05-05 11:25:06 UTC+0000                                 
0x820e5658 spoolsv.exe            1460    636     11      108      0      0 2010-05-05 11:25:07 UTC+0000                                 
0x81f87da0 explorer.exe           1532   1388     19      542      0      0 2010-05-05 11:25:07 UTC+0000                                 
0x8212e368 jusched.exe            1796   1532      6       56      0      0 2010-05-05 11:25:15 UTC+0000                                 
0x82147a78 winampa.exe            1840   1532      6       55      0      0 2010-05-05 11:25:15 UTC+0000                                 
0x8212c900 realplay.exe           1852   1532     11      104      0      0 2010-05-05 11:25:15 UTC+0000                                 
0x8219aae0 qttask.exe             1880   1532      7       76      0      0 2010-05-05 11:25:16 UTC+0000                                 
0x8214dc08 ctfmon.exe             1952   1532      6       98      0      0 2010-05-05 11:25:16 UTC+0000                                 
0x8214f1a8 msmsgs.exe             1968   1532      7      185      0      0 2010-05-05 11:25:16 UTC+0000                                 
0x82131658 jqs.exe                 188    636      5      120      0      0 2010-05-05 11:25:16 UTC+0000                                 
0x821242b0 bittorrent.exe          296   1532      9      194      0      0 2010-05-05 11:25:17 UTC+0000                                 
0x82133a78 LimeWire.exe            312   1532     47      680      0      0 2010-05-05 11:25:17 UTC+0000                                 
0x8215e558 wscntfy.exe            1620    956      1       37      0      0 2010-05-05 11:25:22 UTC+0000                                 
0x82236020 alg.exe                2104    636      5      102      0      0 2010-05-05 11:25:30 UTC+0000                                 
0x82300838 wuauclt.exe            2952    956      3      114      0      0 2010-05-05 11:26:30 UTC+0000                                 
0x81efa020 cmd.exe                3936   1532      6       64      0      0 2010-05-05 11:35:29 UTC+0000                                 
0x82129530 AcroRd32.exe           2912   1532      8      212      0      0 2010-05-05 11:40:25 UTC+0000                                 
0x822a56f8 WINWORD.EXE            3028   1532      8      224      0      0 2010-05-05 11:40:39 UTC+0000                                 
0x81de9020 iexplore.exe           2836   1532     27      647      0      0 2010-05-05 11:41:11 UTC+0000                                 
0x81dfcda0 ipconfig.exe           1784    312      0 --------      0      0 2010-05-05 11:42:11 UTC+0000   2010-05-05 11:42:13 UTC+0000  
